临时,#genre#
重庆卫视,http://101.200.122.188:80/epg/ysp.php?id=cqws
黑龙江卫视,http://101.200.122.188:80/epg/ysp.php?id=hljws
内蒙古卫视,http://101.200.122.188:80/epg/ysp.php?id=nmgws
河北卫视,http://101.200.122.188:80/epg/ysp.php?id=hbws
吉林卫视,http://101.200.122.188:80/epg/ysp.php?id=jlws
河南卫视,http://101.200.122.188:80/epg/ysp.php?id=hnws
贵州卫视,http://101.200.122.188:80/epg/ysp.php?id=gzws
山东卫视,http://101.200.122.188:80/epg/ysp.php?id=sdws
云南卫视,http://101.200.122.188:80/epg/ysp.php?id=ynws
山西卫视,http://live.cooltv.top/tv/tide.php?id=sxiws2
山西卫视,http://47.109.133.184:11111/sxtv.php?id=sxws

湖南卫视,http://221.12.3.18:8980/live/湖南卫视/index.m3u8
上海卫视,http://221.12.3.18:8980/live/上海卫视/index.m3u8
江苏卫视,http://221.12.3.18:8980/live/江苏卫视/index.m3u8
广西卫视,http://221.12.3.18:8980/live/广西卫视/index.m3u8
广东卫视,http://221.12.3.18:8980/live/广东卫视/index.m3u8
北京卫视,http://221.12.3.18:8980/live/北京卫视/index.m3u8
四川卫视,http://221.12.3.18:8980/live/四川卫视/index.m3u8
辽宁卫视,http://221.12.3.18:8980/live/辽宁卫视/index.m3u8
深圳卫视,http://221.12.3.18:8980/live/深圳卫视/index.m3u8
安徽卫视,http://221.12.3.18:8980/live/安徽卫视/index.m3u8
湖北卫视,http://221.12.3.18:8980/live/湖北卫视/index.m3u8
天津卫视,http://221.12.3.18:8980/live/天津卫视/index.m3u8
陕西卫视,http://221.12.3.18:8980/live/陕西卫视/index.m3u8
东南卫视,http://221.12.3.18:8980/live/东南卫视/index.m3u8
江西卫视,http://221.12.3.18:8980/live/江西卫视/index.m3u8
新疆卫视,http://221.12.3.18:8980/live/新疆卫视/index.m3u8
重庆卫视,http://221.12.3.18:8980/live/重庆卫视/index.m3u8
黑龙江卫视,http://221.12.3.18:8980/live/黑龙江卫视/index.m3u8
内蒙古卫视,http://221.12.3.18:8980/live/内蒙古卫视/index.m3u8
河北卫视,http://221.12.3.18:8980/live/河北卫视/index.m3u8
吉林卫视,http://221.12.3.18:8980/live/吉林卫视/index.m3u8
山西卫视,http://221.12.3.18:8980/live/山西卫视/index.m3u8
河南卫视,http://221.12.3.18:8980/live/河南卫视/index.m3u8
贵州卫视,http://221.12.3.18:8980/live/贵州卫视/index.m3u8
山东卫视,http://221.12.3.18:8980/live/山东卫视/index.m3u8
云南卫视,http://221.12.3.18:8980/live/云南卫视/index.m3u8

湖南卫视,http://ynxsj.7766.org:9901/tsfile/live/0128_1.m3u8?key=txiptv
上海卫视,http://ynxsj.7766.org:9901/tsfile/live/0107_1.m3u8?key=txiptv
江苏卫视,http://ynxsj.7766.org:9901/tsfile/live/0127_1.m3u8?key=txiptv
广西卫视,http://ynxsj.7766.org:9901/tsfile/live/0113_1.m3u8?key=txiptv
广东卫视,http://ynxsj.7766.org:9901/tsfile/live/0125_1.m3u8?key=txiptv
北京卫视,http://ynxsj.7766.org:9901/tsfile/live/0122_1.m3u8?key=txiptv
四川卫视,http://ynxsj.7766.org:9901/tsfile/live/0123_1.m3u8?key=txiptv
辽宁卫视,http://ynxsj.7766.org:9901/tsfile/live/0121_1.m3u8?key=txiptv
深圳卫视,http://ynxsj.7766.org:9901/tsfile/live/0126_1.m3u8?key=txiptv
安徽卫视,http://ynxsj.7766.org:9901/tsfile/live/0130_1.m3u8?key=txiptv
湖北卫视,http://ynxsj.7766.org:9901/tsfile/live/0132_1.m3u8?key=txiptv
天津卫视,http://ynxsj.7766.org:9901/tsfile/live/0135_1.m3u8?key=txiptv
陕西卫视,http://ynxsj.7766.org:9901/tsfile/live/0136_1.m3u8?key=txiptv
东南卫视,http://ynxsj.7766.org:9901/tsfile/live/0137_1.m3u8?key=txiptv
江西卫视,http://ynxsj.7766.org:9901/tsfile/live/0138_1.m3u8?key=txiptv
新疆卫视,http://ynxsj.7766.org:9901/tsfile/live/0110_1.m3u8?key=txiptv
重庆卫视,http://ynxsj.7766.org:9901/tsfile/live/0142_1.m3u8?key=txiptv
黑龙江卫视,http://ynxsj.7766.org:9901/tsfile/live/0143_1.m3u8?key=txiptv
内蒙古卫视,http://ynxsj.7766.org:9901/00000003/2/H_NMGWS?virtualDomain=00000003.live_hls.zte.com
河北卫视,http://ynxsj.7766.org:9901/00000003/2/H_HEBEI?virtualDomain=00000003.live_hls.zte.com
吉林卫视,http://ynxsj.7766.org:9901/tsfile/live/0116_1.m3u8?key=txiptv
山西卫视,http://ynxsj.7766.org:9901/00000003/2/H_SXWS?virtualDomain=00000003.live_hls.zte.com
河南卫视,http://ynxsj.7766.org:9901/tsfile/live/0139_1.m3u8?key=txiptv
贵州卫视,http://ynxsj.7766.org:9901/tsfile/live/0120_1.m3u8?key=txiptv
山东卫视,http://ynxsj.7766.org:9901/tsfile/live/0131_1.m3u8?key=txiptv
云南卫视,http://ynxsj.7766.org:9901/tsfile/live/0119_1.m3u8?key=txiptv


港台,#genre#
凤凰中文,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/phoenixtv_hd/playlist.m3u8
凤凰资讯,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/phoenixinfo_hd/playlist.m3u8
香港台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/hkphoenix_twn/playlist.m3u8
翡翠台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/jade_twn/playlist.m3u8
翡翠台,http://ali.hlspull.yximgs.com/live/twlivefhwwzpthzyztzzzxcxbfhzzfzvhdtzdvbtvzszxzfszzcvbctvbfc.flv
华丽翡翠台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Wlt/playlist.m3u8
无线新闻台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/inews_twn/playlist.m3u8
无线新闻台,http://live.cooltv.top/tv/tvb.php?id=0&hq
无线财经台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/tvbcaijing_twn/playlist.m3u8
TVB星河,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/tvbxinhe_twn/playlist.m3u8
TVB星河,http://ali.hlspull.yximgs.com/live/twlivezzmzptvzszzwxnhzzwzztzzztyfzszzszcfzxfzwmxzdtvbxh.flv
J2,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/j2_twn/playlist.m3u8
J2,http://ali.hlspull.yximgs.com/live/twlivefhwohdpthzyfiplhdftuzfbvdimhdznbzszbcvxzfzsehbvbztvbd2.flv
明珠台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/pearl_twn/playlist.m3u8
明珠台,http://ali.hlspull.yximgs.com/live/twlivetcfzhvdzzxcodwoetzmncthvbstyreyhbnnvbdzzwthzyztvbmz.flv
VIUTV,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/viu1_twn/playlist.m3u8
VIUTV,http://hksc.vnetidc.hk:61281/bysid/99
VIUTV,http://ali.hlspull.yximgs.com/live/twlivefhtzznzzdldzluzobnmzzhnbbmdzlpthzyzvzutv.flv
VIUTV,http://ali.hlspull.yximgs.com:80/live/twlivefhwzpthlzzszszzbvdlzdmnbzhdhyzyztvbwxxw.flv
VIUTV6,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/viusix_twn/playlist.m3u8
VIUTV6,http://ali.hlspull.yximgs.com:80/live/twlivefhwzpthlzzszszzbvdlzdmnbzhdhyzyztvbwxxw.flv
VIUTV6,http://hksc.vnetidc.hk:61281/bysid/96
卫视中文台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/weishichinese_twn/playlist.m3u8
爱奇艺,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Qiyi/playlist.m3u8
astro全挂,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Quanjia/playlist.m3u8
astro欢喜台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Huahee/playlist.m3u8
HBO HD,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/hbohd_twn/playlist.m3u8
HBO(en),http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Hbo/playlist.m3u8
HBO Hits,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/hbohead_twn/playlist.m3u8
HBO-原创,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/hbosignature_twn/playlist.m3u8
HBO家庭,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/fyi_twn/playlist.m3u8
HBO Signature,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Hbosignature/playlist.m3u8
CINEMAX,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/cinemax_twn/playlist.m3u8
好莱坞电影,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/hollywoodmovies_twn/playlist.m3u8
星卫电影台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/xingwei_movie/playlist.m3u8
罪案侦辑,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ci_twn/playlist.m3u8
TVB星河,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Xinhe/playlist.m3u8
東森电影台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ettvmovie/playlist.m3u8
纬来电影,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/videolandmovie/playlist.m3u8
龙祥时代,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/cb7a1fec69/playlist.m3u8
龙祥时代,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/lungxiangtime_twn/playlist.m3u8
美亚电影台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/meiyamovie_twn/playlist.m3u8
天映频道(印度),http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Celestialindo/playlist.m3u8
天映频道,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Celestial/playlist.m3u8
天映经典3,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Celestial2/playlist.m3u8
Thrill,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Thrill/playlist.m3u8
Boo,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Boo/playlist.m3u8
星空电影 Movies,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/starmovies_raj/playlist.m3u8
AXN,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/Axn/playlist.m3u8
AXN_TW,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/axn_twn/playlist.m3u8
东森电影 ETTV Movie,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ettvmovie/playlist.m3u8
东森洋片 ETTV Western,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ettvwestern/playlist.m3u8
龙华洋片 Lunghua Western,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/lunghuawestern_twn/playlist.m3u8
龙祥时代,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/lungxiangtime_twn/playlist.m3u8
Movies Now HD,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/moviesnow_raj/playlist.m3u8
Star Movies HD,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/starmovies_raj/playlist.m3u8
龙华戏剧,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8
龙华偶像,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/lunghuaidol_twn/playlist.m3u8
龙华洋片,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/lunghuawestern_twn/playlist.m3u8
爱尔达影剧台1,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/eltadrama_twn/playlist.m3u8
爱尔达影剧台2,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/eltayingju_twn/playlist.m3u8
爱尔达综合台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/eltazonghe/playlist.m3u8
民视,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ftvhd_taiwan/playlist.m3u8
台视新闻,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ttvnews_twn/playlist.m3u8
华视,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ctshd_twn/playlist.m3u8
中视,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/zhongshihd_twn/playlist.m3u8
公视,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ctv_taiwan/playlist.m3u8
台视综合台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ttvzhonghe/playlist.m3u8
中视新闻,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ca73a13c37/playlist.m3u8
中视新闻,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/zhongshinews_twn/playlist.m3u8
民视新闻台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ftvnew_taiwan/playlist.m3u8
民视台湾台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ftvtaiwan_twn/playlist.m3u8
民视第一台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/lunghuajingdian_twn/playlist.m3u8
三立台湾,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/sanlitaiwan/playlist.m3u8
三立综合台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/sanlizhonghe/playlist.m3u8
三立戏剧台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/sanlixiju_twn/playlist.m3u8
中天综合,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ctizhonghe/playlist.m3u8
中天娱乐,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ctient/playlist.m3u8
中天新闻,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/ctinews/playlist.m3u8
TVBS,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/tvbs/playlist.m3u8
TVBS新闻台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/tvbs_n/playlist.m3u8
TVBS欢乐台,http://192.151.243.251/smart.php?playurl=http://198.16.100.90:8278/tvbshuanle_twn/playlist.m3u8
